city_region,district,village
BEKASI,CIBARUSAH,RIDOGALIH
BEKASI,CIKARANG UTARA,KARANGRAHARJA
BEKASI,TAMBUN UTARA,SRIMUKTI
BEKASI,TAMBUN UTARA,SRIMAHI
BEKASI,PEBAYURAN,SUMBERREJA
KOTA BOGOR,BOGOR SELATAN,BATUTULIS
KOTA BOGOR,BOGOR BARAT,PASIRMULYA
TANGERANG,GUNUNG KALER,RANCA GEDE
TANGERANG,SINDANG JAYA,WANA KERTA
KOTA TANGERANG,BATUCEPER,PORISGAGA BARU
KOTA TANGERANG SELATAN,SERPONG UTARA,PAKU JAYA
KOTA JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN
KOTA JAKARTA SELATAN,TEBET,TEBET TIMUR
KOTA JAKARTA SELATAN,TEBET,TEBET BARAT
KOTA JAKARTA TIMUR,PASAR REBO,CIJANTUNG
KOTA JAKARTA TIMUR,JATINEGARA,RAWA BUNGA
KOTA JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU
KOTA JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU
KOTA JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA
KOTA JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN
KOTA JAKARTA BARAT,KALI DERES,SEMANAN
KOTA JAKARTA BARAT,KALI DERES,PREPEDAN
KOTA JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU
BOGOR,BABAKAN MADANG,KADUMANGU
BOGOR,KEMANG,PARAKAN JAYA
BOGOR,RANCA BUNGUR,RANCA BUNGUR
BEKASI,SETU,KERTARAHAYU
BEKASI,SETU,TAMAN SARI
BEKASI,MUARA GEMBONG,PANTAI HARAPANJAYA
BEKASI,SERANG BARU,JAYASAMPURNA
BEKASI,CIKARANG SELATAN,SUKASEJATI
BEKASI,BOJONGMANGU,SUKABUNGAH
BEKASI,CIKARANG TIMUR,SERTAJAYA
BEKASI,KARANGBAHAGIA,KARANGSATU
BEKASI,CIBITUNG,KERTAMUKTI
BEKASI,BABELAN,KEDUNGJAYA
KOTA BEKASI,MUSTIKAJAYA,MUSTIKA SARI
KOTA DEPOK,BEJI,KEMIRIMUKA
TANGERANG,GUNUNG KALER,KANDA WATI
TANGERANG,KRESEK,PATRA SANA
KOTA TANGERANG,KARAWACI,PASARBARU
KOTA TANGERANG SELATAN,CIPUTAT,SARUA
KOTA JAKARTA BARAT,TAMBORA,TAMBORA
KOTA JAKARTA BARAT,KEMBANGAN,JOGLO
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN
KOTA JAKARTA PUSAT,MENTENG,GONDANGDIA
KOTA JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG
KOTA JAKARTA SELATAN,PANCORAN,DUREN TIGA
KOTA JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS
KOTA JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS
KOTA JAKARTA TIMUR,CAKUNG,JATINEGARA
KOTA JAKARTA PUSAT,SENEN,SENEN
KOTA JAKARTA PUSAT,KEMAYORAN,HARAPAN MULYA
KOTA JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU
KOTA JAKARTA BARAT,CENGKARENG,RAWA BUAYA
KOTA JAKARTA UTARA,PENJARINGAN,PENJARINGAN
KOTA JAKARTA UTARA,TANJUNG PRIOK,PAPANGO
BOGOR,TENJOLAYA,TAPOS 1
BOGOR,CARIU,BANTAR KUNING
BOGOR,CILEUNGSI,LIMUS NUNGGAL
BOGOR,RUMPIN,MEKAR SARI
BEKASI,SETU,LUBANGBUAYA
BEKASI,CIKARANG PUSAT,PASIRRANJI
BEKASI,CIKARANG PUSAT,HEGARMUKTI
BEKASI,CIKARANG SELATAN,CIBATU
BEKASI,CIBARUSAH,CIBARUSAHKOTA
BEKASI,BOJONGMANGU,KARANGMULYA
BEKASI,CIKARANG TIMUR,JATIREJA
BEKASI,CIKARANG TIMUR,LABANSARI
BEKASI,KARANGBAHAGIA,KARANGBAHAGIA
BEKASI,TAMBUN UTARA,KARANGSATRIA
BEKASI,TARUMAJAYA,SEGARAMAKMUR
BEKASI,CABANGBUNGIN,JAYALAKSANA
KOTA BOGOR,BOGOR BARAT,PASIRKUDA
KOTA BOGOR,BOGOR BARAT,SINDANGBARANG
KOTA BEKASI,BEKASI UTARA,HARAPAN JAYA
TANGERANG,LEGOK,KAMUNING
TANGERANG,RAJEG,SUKA SARI
KOTA JAKARTA SELATAN,JAGAKARSA,CIPEDAK
KOTA JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR
KOTA JAKARTA SELATAN,PANCORAN,CIKOKO
KOTA JAKARTA TIMUR,PASAR REBO,KALISARI
KOTA JAKARTA SELATAN,SETIA BUDI,GUNTUR
KOTA JAKARTA TIMUR,CIRACAS,CIRACAS
KOTA JAKARTA TIMUR,DUREN SAWIT,KLENDER
KOTA JAKARTA PUSAT,MENTENG,PEGANGSAAN
KOTA JAKARTA BARAT,PALMERAH,JATI PULO
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG
KOTA JAKARTA BARAT,TAMBORA,KALIANYAR
BOGOR,NANGGUNG,CURUG BITUNG
KOTA JAKARTA UTARA,PENJARINGAN,PLUIT
KOTA JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA
KOTA JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR
BOGOR,CIBUNGBULANG,CIARUTEN ILIR
BOGOR,CIGOMBONG,TUGU JAYA
BEKASI,SERANG BARU,NAGASARI
BEKASI,CIKARANG UTARA,KARANGASIH
BEKASI,TAMBELANG,SUKARAPIH
BEKASI,TAMBUN SELATAN,SUMBERJAYA
BEKASI,PEBAYURAN,KARANGSEGAR
BEKASI,CABANGBUNGIN,JAYABAKTI
KOTA BOGOR,BOGOR BARAT,GUNUNGBATU
KOTA BOGOR,TANAH SEREAL,TANAHSAREAL
KOTA TANGERANG,KARAWACI,KOANGJAYA
TANGERANG,SINDANG JAYA,SINDANG PANON
TANGERANG,RAJEG,SUKA MANAH
KOTA TANGERANG,KARAWACI,BOJONGJAYA
KOTA JAKARTA BARAT,TAMBORA,JEMBATAN BESI
KOTA JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT
KOTA JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA
KOTA JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN
KOTA JAKARTA PUSAT,CEMPAKA PUTIH,RAWA SARI
KOTA JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI
KOTA JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR
KOTA JAKARTA PUSAT,MENTENG,KEBON SIRIH
KOTA JAKARTA PUSAT,GAMBIR,GAMBIR
KOTA JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA
KOTA JAKARTA BARAT,PALMERAH,KEMANGGISAN
KOTA JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR
KOTA JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG
BOGOR,NANGGUNG,PARAKAN MUNCANG
BOGOR,TENJOLAYA,SITU DAUN
BOGOR,CIGOMBONG,WATES JAYA
BOGOR,GUNUNG SINDUR,GUNUNG SINDUR
BOGOR,RUMPIN,KAMPUNG SAWAH
BEKASI,SETU,CIJENGKOL
BEKASI,CIKARANG UTARA,PASIRGOMBONG
BEKASI,CIKARANG BARAT,TELAGAMURNI
BEKASI,SUKATANI,SUKARUKUN
BEKASI,MUARA GEMBONG,PANTAIBAHAGIA
KOTA BOGOR,BOGOR BARAT,BALUNGBANGJAYA
KOTA BOGOR,TANAH SEREAL,KEDUNGBADAK
KOTA BEKASI,BEKASI SELATAN,JAKA MULYA
KOTA DEPOK,SAWANGAN,SAWANGAN LAMA
TANGERANG,JAMBE,TIPARRAYA
TANGERANG,CIKUPA,SUKA DAMAI
TANGERANG,SINDANG JAYA,SINDANG ASIH
TANGERANG,RAJEG,LEMBANG SARI
KOTA JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA
KOTA JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG
KOTA JAKARTA SELATAN,PANCORAN,RAWAJATI
KOTA JAKARTA BARAT,TAMAN SARI,MAPHAR
KOTA JAKARTA TIMUR,PASAR REBO,GEDONG
KOTA JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA
KOTA JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH
KOTA JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA
KOTA JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN
KOTA JAKARTA BARAT,KALI DERES,KALIDERES
KOTA JAKARTA UTARA,KOJA,RAWABADAK UTARA
BOGOR,CIBUNGBULANG,LEUWEUNG KOLOT
TANGERANG,KOSAMBI,RAWA RENGAS
KOTA TANGERANG,PINANG,NEROKTOG
KOTA TANGERANG SELATAN,SERPONG,RAWA BUNTU
BEKASI,CIBITUNG,SARIMUKTI
BEKASI,SUKAKARYA,SUKALAKSANA
BEKASI,PEBAYURAN,SUMBERSARI
BEKASI,PEBAYURAN,KARANGHARJA
BEKASI,MUARA GEMBONG,JAYASAKTI
KOTA BOGOR,BOGOR TENGAH,KEBONKELAPA
KOTA BOGOR,TANAH SEREAL,KEDUNGJAYA
KOTA BEKASI,BEKASI SELATAN,MARGA JAYA
KOTA DEPOK,CIPAYUNG,RATUJAYA
KOTA JAKARTA BARAT,TAMBORA,ANGKE
KOTA JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR
KOTA JAKARTA SELATAN,CILANDAK,LEBAK BULUS
KOTA JAKARTA SELATAN,CILANDAK,PONDOK LABU
KOTA JAKARTA SELATAN,PANCORAN,KALIBATA
KOTA JAKARTA SELATAN,SETIA BUDI,SETIA BUDI
KOTA JAKARTA TIMUR,JATINEGARA,BALI MESTER
KOTA JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG
KOTA JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR
BOGOR,NANGGUNG,KALONG LIUD
BOGOR,CIBUNGBULANG,CIMANGGU 1
BOGOR,CARIU,KARYA MEKAR
BEKASI,SETU,CILEDUK
BEKASI,CIKARANG SELATAN,PASIRSARI
BEKASI,BOJONGMANGU,KARANGINDAH
BEKASI,KEDUNGWARINGIN,KARANGHARUM
BEKASI,CIKARANG UTARA,WALUYA
BEKASI,KARANGBAHAGIA,KARANGSETIA
BEKASI,CIKARANG BARAT,JATIWANGI
BEKASI,CIKARANG BARAT,TELAGA ASIH
BEKASI,TAMBELANG,SUKARAHAYU
BEKASI,BABELAN,KEBALEN
TANGERANG,TIGARAKSA,MARGA SARI
TANGERANG,PASARKEMIS,KUTA BUMI
TANGERANG,SUKAMULYA,BUNI AYU
TANGERANG,KEMIRI,LEGOK SUKAMAJU
KOTA JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR
KOTA JAKARTA SELATAN,PANCORAN,PENGADEGAN
KOTA JAKARTA PUSAT,SENEN,KWITANG
KOTA JAKARTA TIMUR,CIPAYUNG,BAMBU APUS
KOTA JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA
KOTA JAKARTA TIMUR,KRAMAT JATI,CAWANG
KOTA JAKARTA TIMUR,JATINEGARA,BIDARA CINA
KOTA JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA
KOTA JAKARTA TIMUR,MATRAMAN,PAL MERIEM
KOTA JAKARTA TIMUR,CAKUNG,RAWA TERATE
KOTA JAKARTA PUSAT,KEMAYORAN,SERDANG
KOTA JAKARTA PUSAT,KEMAYORAN,KEMAYORAN
KOTA JAKARTA PUSAT,SAWAH BESAR,KARTINI
KOTA JAKARTA BARAT,PALMERAH,SLIPI
KOTA JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN
KOTA JAKARTA BARAT,KALI DERES,KAMAL
KOTA JAKARTA UTARA,PENJARINGAN,KAMAL MUARA
KOTA JAKARTA UTARA,KOJA,KOJA
BOGOR,TAMANSARI,PASIR EURIH
BOGOR,CIAWI,BITUNG SARI
BOGOR,CIAWI,PANDANSARI
BOGOR,BOJONG GEDE,BOJONG BARU
BOGOR,PARUNG,JABON MEKAR
BOGOR,PARUNG PANJANG,GINTUNG CILEJET
BEKASI,CIBARUSAH,SINDANGMULYA
BEKASI,TAMBUN SELATAN,LAMBANGSARI
BEKASI,TAMBUN UTARA,SATRIAJAYA
BEKASI,BABELAN,KEDUNGPENGAWAS
BEKASI,SUKAWANGI,SUKATENANG
BEKASI,PEBAYURAN,KERTASARI
BEKASI,CABANGBUNGIN,SINDANGJAYA
TANGERANG,KRESEK,RANCA ILAT
TANGERANG,SINDANG JAYA,SUKA HARJA
KOTA TANGERANG,KARAWACI,NAMBOJAYA
KOTA TANGERANG SELATAN,SETU,KRANGGAN
KOTA JAKARTA BARAT,TAMBORA,JEMBATAN LIMA
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN
KOTA JAKARTA SELATAN,TEBET,BUKIT DURI
KOTA JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU
KOTA JAKARTA PUSAT,TANAH ABANG,GELORA
KOTA JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN
KOTA JAKARTA UTARA,PADEMANGAN,ANCOL
KOTA JAKARTA BARAT,KALI DERES,PEGADUNGAN
KOTA JAKARTA BARAT,KALI DERES,TEGAL ALUR
KOTA JAKARTA UTARA,CILINCING,ROROTAN
BOGOR,CIBUNGBULANG,CIMANGGU 2
BOGOR,CIAMPEA,CIHIDEUNG ILIR
BOGOR,TANJUNGSARI,TANJUNG RASA
BOGOR,PARUNG,BOJONG SEMPU
BOGOR,PARUNG PANJANG,PARUNG PANJANG
BEKASI,CABANGBUNGIN,LENGGAHJAYA
BEKASI,CIKARANG PUSAT,CICAU
BEKASI,CIBARUSAH,WIBAWAMULYA
BEKASI,KEDUNGWARINGIN,KARANGMEKAR
BEKASI,CIKARANG UTARA,MEKARMUKTI
BEKASI,CIBITUNG,WANAJAYA
BEKASI,CIKARANG BARAT,TELAJUNG
BEKASI,TAMBUN UTARA,SRIJAYA
BEKASI,SUKATANI,SUKAHURIP
BEKASI,TARUMAJAYA,SETIA ASIH
BEKASI,PEBAYURAN,KARANGREJA
TANGERANG,CIKUPA,SUKA MULYA
TANGERANG,LEGOK,PALA SARI
TANGERANG,PASARKEMIS,SINDANG SARI
KOTA TANGERANG,JATI UWUNG,KRONCONG
KOTA TANGERANG SELATAN,CIPUTAT,SARUA INDAH
BEKASI,CIKARANG UTARA,CIKARANG KOTA
BEKASI,CIKARANG TIMUR,KARANGSARI
KOTA JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA
KOTA JAKARTA BARAT,TAMBORA,PEKOJAN
